timeStamp,throughput(MB/s)
3032.044846,10.74609375
3033.044846,0.0234375
3034.044846,0.25
3035.044846,0.0625
3036.044846,0.0
3037.044846,1.0546875
3038.044846,7.83984375
3039.044846,0.00390625
3040.044846,0.26953125
3041.044846,19.421875
3042.044846,52.65234375
3043.044846,264.90625
3044.044846,231.8203125
3045.044846,241.3984375
3046.044846,225.45703125
3047.044846,215.390625
3048.044846,212.265625
3049.044846,206.84765625
3050.044846,204.90625
3051.044846,191.1875
3052.044846,196.23046875
3053.044846,201.5546875
3054.044846,216.71484375
3055.044846,227.4609375
3056.044846,278.15625
3057.044846,241.84375
3058.044846,208.796875
3059.044846,201.55078125
3060.044846,199.9921875
3061.044846,233.13671875
3062.044846,285.77734375
3063.044846,219.0234375
3063.631652,56.516752875024224
