timeStamp,cpu_user,cpu_system,mem_free
3038.19,2,4,5990
3039.19,0,1,6091
3040.19,0,0,6091
3041.19,0,0,6091
3042.19,2,9,5471
3043.19,1,14,5007
3044.19,1,11,4586
3045.19,1,10,4248
3046.19,1,8,4013
3047.19,0,7,3795
3048.19,1,7,3575
3049.19,1,7,3375
3050.19,70,21,1579
3051.19,75,25,1702
3052.19,77,23,2084
3053.19,6,11,2672
3054.19,1,7,2458
3055.19,1,6,2241
3056.19,23,15,1372
3057.19,73,27,656
3058.19,73,27,623
3059.19,53,20,1612
3060.19,1,8,1365
3061.19,1,7,1279
3062.19,1,10,1212
3063.19,1,8,1217
3064.19,0,2,1214
3065.19,1,0,1200
